Model,seed,n_sources,n_mixtures,n_samples,presumed_domain,SINR,SNRinp_target,SNRinp_measured,execution_time,SNR_1,SNR_2,SNR_3,SNR_4,SNR_5
PredictiveDecorrBSS,1400,5,13,100000,sparse,26.633559369470383,30.0,29.998569747841803,14.465118014020845,26.362223672193466,26.154825700239318,27.88506075479045,25.728964031888065,27.386787980373125
PredictiveDecorrBSS,1500,5,7,100000,sparse,23.75068962408023,30.0,29.985313089349816,14.570305200992152,27.2979949414318,26.645258611208334,27.212813514090865,19.267792770919545,24.563635276437026
PredictiveDecorrBSS,1500,5,8,100000,sparse,25.757105024435166,30.0,30.014045342564202,14.431081969989464,27.049140585576495,27.478310747322684,26.002969014246236,23.117518315035586,26.619386368671453
PredictiveDecorrBSS,1500,5,9,100000,sparse,26.291554116905935,30.0,30.006858980979775,14.471021228004247,26.430787915883055,27.58132973677556,26.47389899450893,24.602702914115945,26.928583941305206
PredictiveDecorrBSS,1500,5,10,100000,sparse,26.58642317162664,30.0,30.004464548738,14.419614429003559,26.645733139804108,27.151301466797534,26.44871394277272,25.565089098259165,27.32851180493792
PredictiveDecorrBSS,1500,5,11,100000,sparse,26.77537060041795,30.0,29.993089966278042,14.544838077999884,26.72893687792321,27.298520997854997,26.806370575266318,25.658183865964162,27.624390008792382
PredictiveDecorrBSS,1500,5,12,100000,sparse,26.764755945257413,30.0,30.003208648509577,14.532032402988989,25.994673301208636,27.475279916669493,27.134343739661343,26.41021364622681,26.962545102030404
PredictiveDecorrBSS,1500,5,13,100000,sparse,27.089247100226114,30.0,30.000165088317416,14.43113560200436,26.94887668806761,27.416187533448316,26.984259001482684,26.896095203686905,27.221564012217954
PredictiveDecorrBSS,1600,5,7,100000,sparse,25.662345488360074,30.0,30.004185313311652,14.442156900011469,27.484545371696065,27.313724680015305,26.23769497626356,27.004299622555834,22.57999854702608
PredictiveDecorrBSS,1600,5,8,100000,sparse,26.313261498398035,30.0,29.994285014101933,14.480857018003007,27.10913050522344,25.401127961520498,26.431988636268095,30.80994879193057,24.29547392682819
PredictiveDecorrBSS,1600,5,9,100000,sparse,26.876246330374094,30.0,30.000515008896322,14.483584195986623,27.536703523305345,26.10951710070158,27.662603064360738,29.10900777088252,25.09919909666051
PredictiveDecorrBSS,1600,5,10,100000,sparse,26.942838654781234,30.0,30.011592426702684,14.40876337402733,27.57022244148407,26.74881089906798,28.086949970490526,28.092454277688965,25.05515328973004
PredictiveDecorrBSS,1600,5,11,100000,sparse,26.793345578972794,30.0,29.996963360049236,14.554012910986785,27.389030534026602,26.976593918792673,27.130668987037545,27.00667963966209,25.69260826471131
PredictiveDecorrBSS,1600,5,12,100000,sparse,26.770715334793636,30.0,30.002034092821297,14.498628856003052,27.22318863602097,26.91875070031585,27.295538255320754,26.846600469310427,25.76472879382479
PredictiveDecorrBSS,1600,5,13,100000,sparse,26.814526114369066,30.0,30.006453816616656,14.319116822007345,27.436078535544283,26.86399974133195,27.03829154806264,26.94708580814339,25.942637131993088
PredictiveDecorrBSS,1700,5,7,100000,sparse,22.891810465163594,30.0,29.990361810566153,14.469012400018983,27.86049593383177,22.433635521523616,22.632057094381043,22.767957411467393,21.177066104485082
PredictiveDecorrBSS,1700,5,8,100000,sparse,23.960812429840882,30.0,30.002511890742454,14.391556361020776,30.018758079240126,23.317091215751518,23.044733708289556,23.37385341861107,23.10355704302379
PredictiveDecorrBSS,1700,5,9,100000,sparse,25.19895527972453,30.0,30.002825248317777,14.57208497801912,28.406987020504147,24.31898291050242,24.682404515159448,25.52102288571996,24.242348593117356
PredictiveDecorrBSS,1700,5,10,100000,sparse,24.911020155137813,30.0,30.005394480082845,14.59938334900653,29.433617367277005,24.860537822718666,24.125634311044728,24.226734991578667,23.867188404737256
PredictiveDecorrBSS,1700,5,11,100000,sparse,25.95831117085114,30.0,29.989367974050612,14.407086102000903,29.361506085378398,25.17576685848798,25.168500670867658,25.409682980348762,25.893223333358808
PredictiveDecorrBSS,1700,5,12,100000,sparse,26.245697206339802,30.0,30.004723855564933,14.45778867500485,28.388276755625178,26.270135305507832,25.222339628801084,25.799032608609362,26.136942519885793
PredictiveDecorrBSS,1700,5,13,100000,sparse,26.55558701628163,30.0,30.000405650539207,14.494146059994819,26.60325231644128,26.313500024574125,25.855433189594983,28.020932386945873,26.27135010821919
PredictiveDecorrBSS,1800,5,7,100000,sparse,26.70000370807241,30.0,29.99251605565334,14.464201957016485,23.88610019498548,27.192920537109607,27.919093561413742,27.460261761744576,28.87501862386185
PredictiveDecorrBSS,1800,5,8,100000,sparse,26.582144579119745,30.0,29.985204390667867,14.49658221800928,23.75622740333668,26.970421614960237,27.33825452727612,27.712691730030407,29.076118376567837
PredictiveDecorrBSS,1800,5,9,100000,sparse,27.292108230602217,30.0,30.00296602946362,14.563523199991323,28.001666396971437,28.013827722935343,28.046018506864414,27.03155624780084,25.82850851741885
PredictiveDecorrBSS,1800,5,10,100000,sparse,27.33530694336594,30.0,29.985728965473175,14.539818112010835,27.948005028748433,28.108586241543584,27.7845803018003,27.03437375812788,26.127455697159178
PredictiveDecorrBSS,1800,5,11,100000,sparse,27.378378589937004,30.0,29.9871805071866,14.501785135973478,27.641358450232506,28.401697741441936,27.100908636677087,27.177368642252237,26.75085400923042
PredictiveDecorrBSS,1800,5,12,100000,sparse,27.09051469475003,30.0,30.004589448048655,14.587379602977308,25.392025791366656,27.290788157398644,27.12997597640441,26.98950528961026,29.65705646969677
PredictiveDecorrBSS,1800,5,13,100000,sparse,27.309343447977504,30.0,29.998489527565226,14.488533186988207,25.864846139044502,27.357904751611393,27.28790653654737,27.305888925225897,29.439525129452626
PredictiveDecorrBSS,1900,5,7,100000,sparse,27.193576202959942,30.0,29.997310194862656,14.476150990987662,26.713630271889496,27.358410543785748,29.499730051267864,25.111690240219595,28.629823683383403
PredictiveDecorrBSS,1900,5,8,100000,sparse,27.05889475305149,30.0,29.9957465944712,14.489350833988283,26.203201828720815,27.30307942491866,29.439136446532427,24.953614324107342,29.0264637662994
PredictiveDecorrBSS,1900,5,9,100000,sparse,27.31840924255822,30.0,29.996440007536517,14.410660261986777,26.558396780858256,27.5145782476069,29.793440293720987,25.26734129412949,28.966291904110086
PredictiveDecorrBSS,1900,5,10,100000,sparse,26.999861935790754,30.0,30.009552375448006,14.410362067981623,26.258011309293714,28.02578006211788,29.59846320966284,25.20744938833698,27.174282140093574
