Model,seed,rho,mixing_distribution,SINR,SNRinp_target,SNRinp_measured,execution_time,n_sources,n_mixtures,n_samples,presumed_domain,SNR_1,SNR_2,SNR_3,SNR_4,SNR_5
PredictiveDecorrBSS,1400,0.0,rademacher,26.686166670941137,30.0,30.000719559025434,8.683507745037787,5,10,100000,nnantisparse,28.32348435354556,27.72990708201494,25.865512506102036,26.017261829957583,26.074876182791517
PredictiveDecorrBSS,1500,0.0,rademacher,27.666863840551997,30.0,29.996644527370467,8.684781210962683,5,10,100000,nnantisparse,29.490233322174888,28.60249351836304,28.003617043109802,25.87570843156969,27.250474213027367
PredictiveDecorrBSS,1600,0.0,rademacher,26.83584601112463,30.0,29.990039939849694,8.68815729697235,5,10,100000,nnantisparse,27.979719089450196,29.37982938332508,24.723045260092675,25.95137252258684,27.672565495965035
PredictiveDecorrBSS,1700,0.0,rademacher,25.854972847322205,30.0,30.009297296075466,8.762400498031639,5,10,100000,nnantisparse,25.6694173514322,24.98306398116165,25.8083510903233,26.24886414122106,26.773337831403985
PredictiveDecorrBSS,1800,0.0,rademacher,26.045705185546524,30.0,29.994769371267658,8.733883323031478,5,10,100000,nnantisparse,25.13832407326348,26.818411612870264,26.08115303363428,27.453768193172536,25.198071065623537
PredictiveDecorrBSS,1900,0.0,rademacher,27.798710757816444,30.0,29.995431344445144,8.684237025910988,5,10,100000,nnantisparse,28.355185344983617,28.51453138633922,26.527155115067718,27.38096748022842,28.603816974949318
PredictiveDecorrBSS,2000,0.0,rademacher,24.382118094139727,30.0,30.00332467359241,8.750216425978579,5,10,100000,nnantisparse,25.35728560041584,23.19697019143807,26.241672026009194,23.257267908081097,24.650319187679628
PredictiveDecorrBSS,2100,0.0,rademacher,27.4658483915332,30.0,29.993501821146577,8.735969930072315,5,10,100000,nnantisparse,27.270499495384737,27.95613158399466,25.209371740771598,30.041798601007336,28.26230218724274
PredictiveDecorrBSS,2200,0.0,rademacher,27.054327587440596,30.0,29.99216543598972,8.749288016930223,5,10,100000,nnantisparse,26.771958152988894,25.1649087804324,27.532739277623797,27.86614937725798,28.839345883779668
PredictiveDecorrBSS,2300,0.0,rademacher,27.359646369717872,30.0,30.007547007228403,8.704684811993502,5,10,100000,nnantisparse,27.354208964805483,28.043876412095983,26.954085259979472,28.310462208809586,26.41321658918644
PredictiveDecorrBSS,2400,0.0,rademacher,27.408861079657658,30.0,30.003701371909173,8.689013719093055,5,10,100000,nnantisparse,26.40069547607084,27.811564766781714,28.207148061503517,27.053897484785576,27.82031845762047
PredictiveDecorrBSS,2500,0.0,rademacher,24.75249840593337,30.0,30.00381089594108,8.712655031005852,5,10,100000,nnantisparse,23.1231698631523,24.238987517747205,26.775015513366327,24.314271717405788,26.40746187908838
PredictiveDecorrBSS,2600,0.0,rademacher,27.676231681784955,30.0,30.005124927474093,8.753834025934339,5,10,100000,nnantisparse,27.293260688269072,27.044481335584052,27.288034265411753,29.879929832408138,27.442808465314975
PredictiveDecorrBSS,2700,0.0,rademacher,27.457482999600323,30.0,29.991325445179015,8.745019246009178,5,10,100000,nnantisparse,29.389238762761224,27.072898128439085,28.65445888852205,26.370159782894113,26.58824156190761
PredictiveDecorrBSS,2800,0.0,rademacher,27.117277869914318,30.0,29.993298827060407,8.772164921974763,5,10,100000,nnantisparse,26.849540105468147,27.491240480479444,26.83836516378196,27.089745211711488,27.36016896900997
PredictiveDecorrBSS,2900,0.0,rademacher,27.38187498085589,30.0,29.999536652243947,8.752940790029243,5,10,100000,nnantisparse,28.255187645873193,27.01653120196807,26.8787609861432,26.672233183572626,28.38291567362123
PredictiveDecorrBSS,0,0.0,student_t_df5,27.36231712773575,30.0,30.009153923253375,8.7013196159387,5,10,100000,nnantisparse,27.93338086289271,28.496211283729174,26.103005341258235,27.334548975664404,27.31361026578812
PredictiveDecorrBSS,100,0.0,student_t_df5,26.376206012231663,30.0,30.01272182182889,8.690767346997745,5,10,100000,nnantisparse,27.654906281811,28.257199200461343,26.684958580872696,24.92722286303343,25.314726495629753
PredictiveDecorrBSS,200,0.0,student_t_df5,27.29983430261601,30.0,30.00882346908497,8.69973177195061,5,10,100000,nnantisparse,26.678970905399105,26.67006237375905,27.168716938031533,28.20405199268256,28.0119045805251
PredictiveDecorrBSS,300,0.0,student_t_df5,26.40104528280263,30.0,29.988040926021302,8.71646129002329,5,10,100000,nnantisparse,28.47313192258988,26.886321454927522,23.841565372001128,26.556090552180343,27.834370134059114
PredictiveDecorrBSS,400,0.0,student_t_df5,26.792428639921333,30.0,30.01870512610209,8.750330711016431,5,10,100000,nnantisparse,26.785061037939816,25.690206102793752,27.228345344356086,26.35048061217342,28.350228295908032
PredictiveDecorrBSS,500,0.0,student_t_df5,27.517334289934013,30.0,30.014999238654806,8.68031320499722,5,10,100000,nnantisparse,26.09265951780769,26.436270437410343,30.836778519223287,27.23685989121932,28.499669341826092
